CaseID,Activity,EventType,Resource,Timestamp
409,Activity 1,assign,Role #1,2020-01-17T09:54:18.383
409,Activity 1,start,Role #1,2020-03-16T02:20:35.976
409,Activity 1,complete,Role #1,2020-03-16T02:38:22.623
409,Activity 2,assign,Role #1,2020-03-16T02:38:22.623
409,Activity 2,start,Role #1,2020-04-23T04:33:23.547
409,Activity 2,complete,Role #1,2020-04-23T04:48:37.510
409,Activity 6,assign,Role #3,2020-04-23T04:48:37.510
409,Activity 6,start,Role #3,2020-04-23T04:48:37.510
409,Activity 6,complete,Role #3,2020-04-23T05:02:35.816
409,Activity 7,assign,Role #3,2020-04-23T05:02:35.816
409,Activity 7,start,Role #3,2020-04-23T05:02:35.816
409,Activity 7,complete,Role #3,2020-04-23T05:30:00.021
409,Activity 8,assign,Role #4,2020-04-23T05:30:00.021
409,Activity 8,start,Role #4,2020-05-28T07:24:30.482
409,Activity 8,complete,Role #4,2020-05-28T08:28:46.314
405,Activity 1,assign,Role #1,2020-01-17T09:19:12.015
405,Activity 1,start,Role #1,2020-03-12T03:49:36.166
405,Activity 1,complete,Role #1,2020-03-16T02:07:04.047
405,Activity 2,assign,Role #1,2020-03-16T02:07:04.047
405,Activity 2,start,Role #1,2020-04-23T04:21:28.660
405,Activity 2,complete,Role #1,2020-04-23T04:29:04.110
405,Activity 6,assign,Role #3,2020-04-23T04:29:04.110
405,Activity 6,start,Role #3,2020-04-23T04:29:04.110
405,Activity 6,complete,Role #3,2020-04-23T04:40:10.353
405,Activity 7,assign,Role #3,2020-04-23T04:40:10.353
405,Activity 7,start,Role #3,2020-04-23T04:40:10.353
405,Activity 7,complete,Role #3,2020-04-23T04:54:01.599
405,Activity 8,assign,Role #4,2020-04-23T04:54:01.599
405,Activity 8,start,Role #4,2020-05-27T08:01:39.282
405,Activity 8,complete,Role #4,2020-05-27T08:44:17.992
407,Activity 1,assign,Role #1,2020-01-17T09:42:17.231
407,Activity 1,start,Role #1,2020-03-16T02:07:04.047
407,Activity 1,complete,Role #1,2020-03-16T02:20:35.976
407,Activity 2,assign,Role #1,2020-03-16T02:20:35.976
407,Activity 2,start,Role #1,2020-04-23T04:29:04.110
407,Activity 2,complete,Role #1,2020-04-23T04:33:23.547
407,Activity 6,assign,Role #3,2020-04-23T04:33:23.547
407,Activity 6,start,Role #3,2020-04-23T04:33:23.547
407,Activity 6,complete,Role #3,2020-04-23T04:43:44.695
407,Activity 7,assign,Role #3,2020-04-23T04:43:44.695
407,Activity 7,start,Role #3,2020-04-23T04:43:44.695
407,Activity 7,complete,Role #3,2020-04-23T05:07:13.270
407,Activity 8,assign,Role #4,2020-04-23T05:07:13.270
407,Activity 8,start,Role #4,2020-05-28T05:48:02.692
407,Activity 8,complete,Role #4,2020-05-28T06:45:36.726
408,Activity 1,assign,Role #1,2020-01-17T09:43:02.081
408,Activity 1,start,Role #1,2020-03-16T02:17:50.353
408,Activity 1,complete,Role #1,2020-03-16T02:36:20.587
408,Activity 2,assign,Role #1,2020-03-16T02:36:20.587
408,Activity 2,start,Role #1,2020-04-23T04:33:03.456
408,Activity 2,complete,Role #1,2020-04-23T04:45:14.278
408,Activity 3,assign,Role #2,2020-04-23T04:45:14.278
408,Activity 3,start,Role #2,2020-04-23T05:13:27.066
408,Activity 3,complete,Role #2,2020-04-23T05:29:49.206
408,Activity 4,assign,Role #2,2020-04-23T05:29:49.206
408,Activity 5,assign,Role #2,2020-04-23T05:29:49.206
408,Activity 4,start,Role #2,2020-04-23T05:33:57.461
408,Activity 5,start,Role #2,2020-04-23T05:36:54.167
408,Activity 5,complete,Role #2,2020-04-23T05:39:04.742
408,Activity 4,complete,Role #2,2020-04-23T05:52:46.821
408,Activity 8,assign,Role #4,2020-04-23T05:52:46.821
408,Activity 8,start,Role #4,2020-05-28T08:28:46.314
408,Activity 8,complete,Role #4,2020-05-29T05:24:08.103
404,Activity 1,assign,Role #1,2020-01-17T09:18:52.521
404,Activity 1,start,Role #1,2020-03-12T03:37:17.975
404,Activity 1,complete,Role #1,2020-03-12T03:57:54.013
404,Activity 2,assign,Role #1,2020-03-12T03:57:54.013
404,Activity 2,start,Role #1,2020-04-23T04:12:02.234
404,Activity 2,complete,Role #1,2020-04-23T04:21:28.660
404,Activity 6,assign,Role #3,2020-04-23T04:21:28.660
404,Activity 6,start,Role #3,2020-04-23T04:21:28.660
404,Activity 6,complete,Role #3,2020-04-23T04:33:25.836
404,Activity 7,assign,Role #3,2020-04-23T04:33:25.836
404,Activity 7,start,Role #3,2020-04-23T04:33:25.836
404,Activity 7,complete,Role #3,2020-04-23T04:54:25.281
404,Activity 8,assign,Role #4,2020-04-23T04:54:25.281
404,Activity 8,start,Role #4,2020-05-27T08:25:45.077
404,Activity 8,complete,Role #4,2020-05-28T05:05:05.504
406,Activity 1,assign,Role #1,2020-01-17T09:20:55.815
406,Activity 1,start,Role #1,2020-03-12T03:57:54.013
